objectid,name,tile,nd_value,resolution,creationda,raster,fileurl,spec_type,qual,reg_src,num_gcps,meanresz,active,qc,rel_ver,num_comp,st_area_sh,st_length_
"5320",54_10_2_2_5m_v2.0,54_10,-9999.00000000000,5.00000000000,2016-12-10,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/54_10/54_10_2_2_5m_v2.0.tar,DEM,0.76404327000,ICESat,"1084",-0.00100000000,"1","2","3","33",2500000000.00000000000,200000.00000000000
"5321",54_10_2_1_5m_v2.0,54_10,-9999.00000000000,5.00000000000,2016-12-10,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/54_10/54_10_2_1_5m_v2.0.tar,DEM,0.79796960000,ICESat,"1084",-0.00100000000,"1","2","3","33",2500000000.00000000000,200000.00000000000
"5322",54_10_1_1_5m_v2.0,54_10,-9999.00000000000,5.00000000000,2016-12-10,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/54_10/54_10_1_1_5m_v2.0.tar,DEM,0.79395645000,ICESat,"1084",-0.00100000000,"1","2","3","33",2500000000.00000000000,200000.00000000000
"5323",54_10_1_2_5m_v2.0,54_10,-9999.00000000000,5.00000000000,2016-12-10,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/54_10/54_10_1_2_5m_v2.0.tar,DEM,0.72769070000,ICESat,"1084",-0.00100000000,"1","2","3","33",2500000000.00000000000,200000.00000000000
"5324",54_07_1_2_5m_v2.0,54_07,-9999.00000000000,5.00000000000,2016-12-10,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/54_07/54_07_1_2_5m_v2.0.tar,DEM,0.58516266000,ICESat,"1955",0.00150000000,"1","2","3","17",2500000000.00000000000,200000.00000000000
"5325",54_07_2_2_5m_v2.0,54_07,-9999.00000000000,5.00000000000,2016-12-10,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/54_07/54_07_2_2_5m_v2.0.tar,DEM,0.69640582000,ICESat,"1955",0.00150000000,"1","2","3","17",2500000000.00000000000,200000.00000000000
"5326",54_07_1_1_5m_v2.0,54_07,-9999.00000000000,5.00000000000,2016-12-10,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/54_07/54_07_1_1_5m_v2.0.tar,DEM,0.49051801000,ICESat,"1955",0.00150000000,"1","2","3","17",2500000000.00000000000,200000.00000000000
"5327",54_07_2_1_5m_v2.0,54_07,-9999.00000000000,5.00000000000,2016-12-10,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/54_07/54_07_2_1_5m_v2.0.tar,DEM,0.50962704000,ICESat,"1955",0.00150000000,"1","2","3","17",2500000000.00000000000,200000.00000000000
"5328",35_52_2_2_5m_v2.0,35_52,-9999.00000000000,5.00000000000,2016-12-08,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/35_52/35_52_2_2_5m_v2.0.tar,DEM,0.76995766000,ICESat,"1122",0.00000000000,"1","2","3","69",2500000000.00000000000,200000.00000000000
"5329",35_52_1_2_5m_v2.0,35_52,-9999.00000000000,5.00000000000,2016-12-08,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/35_52/35_52_1_2_5m_v2.0.tar,DEM,0.79657313000,ICESat,"1122",0.00000000000,"1","2","3","69",2500000000.00000000000,200000.00000000000
"5330",35_52_2_1_5m_v2.0,35_52,-9999.00000000000,5.00000000000,2016-12-08,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/35_52/35_52_2_1_5m_v2.0.tar,DEM,0.49698415000,ICESat,"1122",0.00000000000,"1","2","3","69",2500000000.00000000000,200000.00000000000
"5331",35_52_1_1_5m_v2.0,35_52,-9999.00000000000,5.00000000000,2016-12-08,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/35_52/35_52_1_1_5m_v2.0.tar,DEM,0.89112186000,ICESat,"1122",0.00000000000,"1","2","3","69",2500000000.00000000000,200000.00000000000
"5332",49_13_1_2_5m_v2.0,49_13,-9999.00000000000,5.00000000000,2016-12-11,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/49_13/49_13_1_2_5m_v2.0.tar,DEM,0.80087014000,ICESat,"964",0.00000000000,"1","2","3","29",2500000000.00000000000,200000.00000000000
"5333",49_13_1_1_5m_v2.0,49_13,-9999.00000000000,5.00000000000,2016-12-11,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/49_13/49_13_1_1_5m_v2.0.tar,DEM,0.91231381000,ICESat,"964",0.00000000000,"1","2","3","29",2500000000.00000000000,200000.00000000000
"5334",49_13_2_2_5m_v2.0,49_13,-9999.00000000000,5.00000000000,2016-12-11,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/49_13/49_13_2_2_5m_v2.0.tar,DEM,0.95207125000,ICESat,"964",0.00000000000,"1","2","3","29",2500000000.00000000000,200000.00000000000
"5335",49_13_2_1_5m_v2.0,49_13,-9999.00000000000,5.00000000000,2016-12-11,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/49_13/49_13_2_1_5m_v2.0.tar,DEM,0.95862977000,ICESat,"964",0.00000000000,"1","2","3","29",2500000000.00000000000,200000.00000000000
"5336",47_12_1_1_5m_v2.0,47_12,-9999.00000000000,5.00000000000,2016-12-12,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/47_12/47_12_1_1_5m_v2.0.tar,DEM,0.91231235000,ICESat,"1205",0.00050000000,"1","2","3","30",2500000000.00000000000,200000.00000000000
"5337",47_12_2_1_5m_v2.0,47_12,-9999.00000000000,5.00000000000,2016-12-12,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/47_12/47_12_2_1_5m_v2.0.tar,DEM,0.77507391000,ICESat,"1205",0.00050000000,"1","2","3","30",2500000000.00000000000,200000.00000000000
"5338",47_12_1_2_5m_v2.0,47_12,-9999.00000000000,5.00000000000,2016-12-12,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/47_12/47_12_1_2_5m_v2.0.tar,DEM,0.48203645000,ICESat,"1205",0.00050000000,"1","2","3","30",2500000000.00000000000,200000.00000000000
"5339",47_12_2_2_5m_v2.0,47_12,-9999.00000000000,5.00000000000,2016-12-12,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/47_12/47_12_2_2_5m_v2.0.tar,DEM,0.46016502000,ICESat,"1205",0.00050000000,"1","2","3","30",2500000000.00000000000,200000.00000000000
"5344",51_15_1_2_5m_v2.0,51_15,-9999.00000000000,5.00000000000,2016-12-12,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/51_15/51_15_1_2_5m_v2.0.tar,DEM,0.98965303000,ICESat,"936",0.00200000000,"1","2","3","38",2500000000.00000000000,200000.00000000000
"5345",51_15_1_1_5m_v2.0,51_15,-9999.00000000000,5.00000000000,2016-12-12,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/51_15/51_15_1_1_5m_v2.0.tar,DEM,0.96400727000,ICESat,"936",0.00200000000,"1","2","3","38",2500000000.00000000000,200000.00000000000
"5346",51_15_2_1_5m_v2.0,51_15,-9999.00000000000,5.00000000000,2016-12-12,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/51_15/51_15_2_1_5m_v2.0.tar,DEM,0.90319157000,ICESat,"936",0.00200000000,"1","2","3","38",2500000000.00000000000,200000.00000000000
"5347",51_15_2_2_5m_v2.0,51_15,-9999.00000000000,5.00000000000,2016-12-12,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/51_15/51_15_2_2_5m_v2.0.tar,DEM,0.74269657000,ICESat,"936",0.00200000000,"1","2","3","38",2500000000.00000000000,200000.00000000000
"5348",62_11_1_1_5m_v2.0,62_11,-9999.00000000000,5.00000000000,2016-12-09,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/62_11/62_11_1_1_5m_v2.0.tar,DEM,0.04924068000,,"0",0.00000000000,"1","2","3","16",2500000000.00000000000,200000.00000000000
"5349",25_29_2_1_5m_v2.0,25_29,-9999.00000000000,5.00000000000,2016-12-08,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/25_29/25_29_2_1_5m_v2.0.tar,DEM,0.95211670000,ICESat,"1106",0.00000000000,"1","2","3","44",2500000000.00000000000,200000.00000000000
"5350",25_29_2_2_5m_v2.0,25_29,-9999.00000000000,5.00000000000,2016-12-08,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/25_29/25_29_2_2_5m_v2.0.tar,DEM,0.99875503000,ICESat,"1106",0.00000000000,"1","2","3","44",2500000000.00000000000,200000.00000000000
"5351",25_29_1_1_5m_v2.0,25_29,-9999.00000000000,5.00000000000,2016-12-08,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/25_29/25_29_1_1_5m_v2.0.tar,DEM,0.98913830000,ICESat,"1106",0.00000000000,"1","2","3","44",2500000000.00000000000,200000.00000000000
"5352",25_29_1_2_5m_v2.0,25_29,-9999.00000000000,5.00000000000,2016-12-08,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/25_29/25_29_1_2_5m_v2.0.tar,DEM,0.95183274000,ICESat,"1106",0.00000000000,"1","2","3","44",2500000000.00000000000,200000.00000000000
"5353",57_11_2_1_5m_v2.0,57_11,-9999.00000000000,5.00000000000,2016-12-08,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/57_11/57_11_2_1_5m_v2.0.tar,DEM,0.41595450000,ICESat,"542",-0.00200000000,"1","2","3","6",2500000000.00000000000,200000.00000000000
"5354",52_18_1_2_5m_v2.0,52_18,-9999.00000000000,5.00000000000,2016-12-10,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/52_18/52_18_1_2_5m_v2.0.tar,DEM,0.77762640000,ICESat,"876",-0.01200000000,"1","2","3","31",2500000000.00000000000,200000.00000000000
"5355",52_18_2_1_5m_v2.0,52_18,-9999.00000000000,5.00000000000,2016-12-10,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/52_18/52_18_2_1_5m_v2.0.tar,DEM,0.90990270000,ICESat,"876",-0.01200000000,"1","2","3","31",2500000000.00000000000,200000.00000000000
"5356",52_18_2_2_5m_v2.0,52_18,-9999.00000000000,5.00000000000,2016-12-10,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/52_18/52_18_2_2_5m_v2.0.tar,DEM,0.64153987000,ICESat,"876",-0.01200000000,"1","2","3","31",2500000000.00000000000,200000.00000000000
"5357",52_18_1_1_5m_v2.0,52_18,-9999.00000000000,5.00000000000,2016-12-10,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/52_18/52_18_1_1_5m_v2.0.tar,DEM,0.99481968000,ICESat,"876",-0.01200000000,"1","2","3","31",2500000000.00000000000,200000.00000000000
"5358",22_28_1_2_5m_v2.0,22_28,-9999.00000000000,5.00000000000,2016-12-08,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/22_28/22_28_1_2_5m_v2.0.tar,DEM,0.83540368000,ICESat,"981",0.00100000000,"1","2","3","48",2500000000.00000000000,200000.00000000000
